,id,branch,found,course,daynight,major,school,school_area,sex,age,hire_state,b022,b023,b036,b038,b039,b040,f009,i001,i033,i037,i042,i046,i066,i076,l001,l009,l016,m002,k110,k004,k007,k009,k011,q001,q002,q003,q004,q006,p001,p026,p029,p036,p045
0,5.0,1.0,3.0,3.0,0,1.0,1.0,1,1,26.333333333333332,0,1.0,1.0,0,1,0,0,1.0,0,0,0.0,0.0,0,146,0,1.0,0,792,7,0,0,0,0,0,3.0,2.0,8.0,0,1.0,1.0,5.0,5.0,6.0,0
21,167.0,1.0,3.0,5.0,1,1.0,1.0,1,1,24.333333333333332,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,30,1,0,0,0,0,0,2.0,3.0,5.0,1,3.0,1.0,5.0,5.0,2.0,0
27,187.0,1.0,3.0,3.0,0,1.0,1.0,0,1,28.5,0,30.0,7.0,0,1,0,1,1.0,0,865,0.0,0.0,0,0,0,1.0,1,35,2,0,0,0,0,1,5.0,10.0,7.0,0,3.0,1.0,5.0,6.0,3.01,0
34,237.0,1.0,3.0,3.0,1,1.0,1.0,1,1,23.5,0,0.0,0.0,0,0,0,0,6.0,0,0,0.0,0.0,0,0,0,1.0,1,3,5,0,0,0,0,1,4.0,2.0,7.0,0,3.0,1.0,3.0,4.0,3.0,0
35,260.0,1.0,3.0,5.0,1,1.0,1.0,0,1,24.75,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,100,1,0,0,0,0,0,1.0,5.0,6.0,0,1.0,1.0,3.0,3.0,2.0,0
38,272.0,1.0,3.0,3.0,0,1.0,1.0,1,0,23.75,0,9.0,8.0,0,1,0,0,6.0,0,0,0.0,0.0,0,0,0,1.0,1,700,0,0,0,0,0,1,3.0,0.0,8.0,0,3.0,1.0,3.0,2.0,3.01,1
41,283.0,1.0,3.0,5.0,0,1.0,1.0,0,1,23.666666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,2,9,0,0,0,0,0,3.0,0.0,8.0,0,2.0,1.0,3.0,3.0,3.01,0
43,297.0,1.0,3.0,3.0,0,1.0,1.0,0,0,22.5,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,144,2,0,0,0,0,0,5.0,0.0,7.0,1,1.0,1.0,5.0,3.0,4.0,0
51,359.0,1.0,3.0,3.0,0,2.0,1.0,1,1,23.916666666666668,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,600,0,0,0,0,0,0,4.0,1.0,7.0,0,2.0,1.0,3.0,3.0,1.0,0
54,378.0,1.0,3.0,3.0,0,2.0,1.0,0,0,23.833333333333332,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,100,0,0,0,0,0,0,4.0,3.0,7.0,0,4.0,1.0,3.0,3.0,1.0,1
58,423.0,1.0,3.0,3.0,0,2.0,1.0,0,1,23.5,0,5.0,3.0,0,1,0,1,1.0,0,0,0.0,0.0,0,0,0,1.0,1,300,5,0,0,0,0,0,3.0,2.0,5.0,0,1.0,1.0,3.0,3.0,3.0,0
62,447.0,1.0,3.0,3.0,0,2.0,1.0,0,0,26.916666666666668,0,4.0,2.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,0,1.0,0,8,2,0,0,0,0,0,5.0,1.0,6.0,0,1.0,1.0,3.0,3.0,2.0,1
68,499.0,1.0,3.0,3.0,0,2.0,1.0,0,0,25.416666666666668,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,0,3,1,0,0,0,0,0,4.0,2.0,9.0,0,1.0,1.0,4.0,3.0,3.0,1
80,603.0,1.0,3.0,3.0,0,2.0,1.0,0,1,22.0,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,200,3,0,0,0,0,0,4.0,2.0,8.0,1,5.0,1.0,3.0,3.0,3.01,0
121,914.0,1.0,3.0,3.0,0,2.0,1.0,0,1,24.083333333333332,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,120,2,0,0,0,0,0,4.0,1.0,7.0,0,3.0,1.0,3.0,3.0,3.01,0
122,915.0,1.0,3.0,3.0,0,2.0,1.0,0,1,23.25,1,0.0,0.0,0,0,0,0,10.0,0,0,0.0,0.0,0,0,0,1.0,1,2,1,0,0,0,0,0,1.0,0.0,6.0,0,3.0,1.0,3.0,3.0,1.0,0
128,990.0,1.0,3.0,3.0,0,2.0,1.0,0,0,51.333333333333336,0,10.0,1.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,20,2,0,0,0,0,0,3.0,1.0,5.0,1,2.0,2.0,5.0,2.0,4.0,1
149,1157.0,1.0,3.0,3.0,0,2.0,1.0,1,1,23.166666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,5,0,0,0,0,0,0,3.0,2.0,5.0,0,3.0,1.0,3.0,3.0,3.01,0
163,1296.0,1.0,3.0,3.0,0,2.0,1.0,0,1,21.916666666666668,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,3,1,0,0,0,0,0,5.0,2.0,10.0,0,3.0,1.0,3.0,3.0,3.01,0
173,1408.0,1.0,3.0,3.0,0,3.0,1.0,0,0,24.5,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,24,1,0,0,0,0,0,5.0,2.0,8.0,0,4.0,1.0,3.0,3.0,3.0,1
186,1536.0,1.0,3.0,3.0,0,3.0,1.0,0,1,23.916666666666668,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,1,3,0,0,0,0,0,3.0,0.0,6.0,0,2.0,1.0,3.0,3.0,3.01,0
188,1550.0,1.0,3.0,3.0,0,3.0,1.0,0,1,22.666666666666668,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,1,2,0,0,0,0,0,4.0,5.0,5.0,0,3.0,1.0,6.0,3.0,3.01,0
221,1785.0,1.0,3.0,3.0,0,4.0,1.0,0,0,25.0,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,10,1,0,0,0,0,0,4.0,1.0,7.0,0,4.0,1.0,3.0,3.0,4.0,1
223,1802.0,1.0,3.0,3.0,0,4.0,1.0,0,0,22.916666666666668,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,40,2,0,0,0,0,0,4.0,10.0,6.0,1,3.0,1.0,4.0,3.0,3.0,0
243,2009.0,1.0,3.0,5.0,1,4.0,1.0,0,0,26.25,1,0.0,0.0,0,0,0,0,2.0,0,725,0.0,0.0,0,0,0,1.0,1,24,4,0,0,0,0,0,4.0,1.0,6.0,0,3.0,1.0,3.0,2.0,4.0,1
245,2019.0,1.0,3.0,3.0,1,4.0,1.0,0,1,21.583333333333332,1,0.0,0.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,0,1.0,1,86,3,0,0,0,0,0,3.0,0.0,7.0,0,4.0,1.0,5.0,3.0,3.01,0
253,2062.0,1.0,3.0,3.0,0,4.0,1.0,0,0,24.0,0,4.0,0.0,1,1,1,1,2.0,0,0,0.0,0.0,0,0,0,1.0,1,500,0,0,0,1,0,0,3.0,1.0,8.0,1,4.0,1.0,3.0,2.0,3.01,1
255,2076.0,1.0,3.0,3.0,0,4.0,1.0,0,0,24.916666666666668,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,24,0,0,0,0,0,0,4.0,6.0,6.0,0,4.0,1.0,2.0,3.0,3.0,1
257,2085.0,1.0,3.0,5.0,0,4.0,1.0,0,0,25.666666666666668,1,0.0,0.0,0,0,0,0,2.0,1,640,0.0,0.0,0,0,190,1.0,1,576,0,0,0,1,0,1,4.0,1.0,6.0,1,3.0,1.0,5.0,2.0,3.01,0
263,2128.0,1.0,3.0,3.0,0,4.0,1.0,0,0,24.416666666666668,1,0.0,0.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,0,1.0,1,16,3,0,0,1,0,1,4.0,4.0,6.0,1,2.0,1.0,3.0,3.0,3.01,1
294,2358.0,1.0,3.0,3.0,0,4.0,1.0,0,0,25.583333333333332,0,0.0,0.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,187,1.0,1,800,4,0,0,0,0,0,5.0,5.0,8.0,0,1.0,1.0,3.0,3.0,3.01,1
330,2604.0,1.0,3.0,3.0,0,4.0,1.0,1,0,25.333333333333332,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,15,0,0,0,0,0,1,3.0,3.0,6.0,0,4.0,1.0,5.0,5.0,4.0,1
333,2611.0,1.0,3.0,3.0,0,4.0,1.0,1,0,24.75,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,40,0,0,0,0,0,1,4.0,1.0,7.0,1,4.0,1.0,5.0,3.0,3.0,1
335,2638.0,1.0,3.0,3.0,0,4.0,1.0,1,1,21.666666666666668,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,600,3,1,0,1,0,0,1.0,0.0,5.0,0,3.0,1.0,3.0,3.0,3.01,0
338,2694.0,1.0,3.0,3.0,0,4.0,1.0,0,0,25.0,1,0.0,0.0,0,0,0,0,6.0,0,0,0.0,0.0,0,0,0,1.0,1,150,3,0,0,0,0,0,5.0,15.0,5.0,1,1.0,1.0,3.0,3.0,2.0,1
345,2735.0,1.0,3.0,5.0,1,4.0,1.0,0,1,24.083333333333332,0,1.0,1.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,27,0,0,0,0,0,0,3.0,5.0,8.0,0,4.0,1.0,3.0,3.0,1.0,0
360,2857.0,1.0,3.0,5.0,1,4.0,1.0,1,1,25.5,0,3.0,1.0,0,0,1,1,2.0,0,0,0.0,0.0,0,0,0,1.0,1,720,0,0,0,0,0,1,4.0,7.0,6.0,0,3.0,1.0,3.0,2.0,3.0,0
363,2890.0,1.0,3.0,3.0,0,4.0,1.0,0,0,24.916666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,10,0,0,0,0,0,0,3.0,7.0,7.0,0,4.0,1.0,3.0,3.0,4.0,1
371,2950.0,1.0,3.0,3.0,0,4.0,1.0,0,0,23.75,1,0.0,0.0,0,0,0,0,2.0,0,300,0.0,0.0,0,0,0,1.0,1,4,0,0,0,0,0,0,4.0,8.0,6.0,1,4.0,1.0,4.0,4.0,4.0,1
377,2993.0,1.0,3.0,3.0,1,4.0,1.0,0,0,25.166666666666668,0,6.0,0.0,0,1,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,0,180,3,0,0,0,0,0,4.0,0.0,8.0,0,3.0,1.0,3.0,3.0,3.0,1
378,2998.0,1.0,3.0,2.0,1,4.0,1.0,0,0,24.25,1,0.0,0.0,0,0,0,0,5.0,0,0,0.0,0.0,0,0,0,1.0,1,80,1,0,0,0,0,0,2.0,1.0,5.0,0,4.0,1.0,2.0,3.0,2.0,1
386,3044.0,1.0,3.0,3.0,0,4.0,1.0,1,1,22.25,1,0.0,0.0,0,0,0,0,9.0,0,600,0.0,0.0,0,0,0,1.0,1,900,1,0,0,0,0,0,3.0,1.0,7.0,0,3.0,1.0,3.0,3.0,3.01,0
392,3074.0,1.0,3.0,3.0,0,4.0,1.0,1,0,24.583333333333332,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,400,1,0,1,0,0,1,4.0,0.0,7.0,0,3.0,1.0,1.0,2.0,3.0,1
398,3111.0,1.0,3.0,5.0,1,4.0,1.0,1,0,27.0,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,900,0,0,0,0,0,0,5.0,5.0,6.0,0,4.0,1.0,5.0,5.0,3.0,1
413,3277.0,1.0,3.0,3.0,0,5.0,1.0,0,1,25.5,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,3,0,1,0,1,0,1,5.0,7.0,6.0,0,1.0,2.0,5.0,6.0,1.0,0
419,3312.0,1.0,3.0,3.0,0,5.0,1.0,0,1,22.416666666666668,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,120,1,0,0,0,0,0,1.0,6.0,8.0,0,3.0,1.0,3.0,2.0,3.0,0
428,3386.0,1.0,3.0,2.0,1,5.0,1.0,0,0,31.083333333333332,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,4,0,0,0,0,0,0,4.0,2.0,7.0,0,3.0,1.0,3.0,3.0,3.01,1
435,3415.0,1.0,3.0,3.0,0,5.0,1.0,0,1,22.75,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,12,4,1,0,0,0,1,3.0,0.0,6.0,0,2.0,1.0,3.0,3.0,1.0,0
445,3473.0,1.0,3.0,3.0,0,5.0,1.0,0,0,23.75,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,200,0,0,0,0,0,0,4.0,2.0,7.0,0,4.0,1.0,3.0,3.0,2.0,1
447,3479.0,1.0,3.0,2.0,1,5.0,1.0,0,0,21.75,1,0.0,0.0,0,0,0,0,6.0,0,0,0.0,0.0,0,0,0,1.0,1,6000,1,0,0,0,0,0,4.0,2.0,6.0,0,1.0,1.0,3.0,3.0,3.01,0
455,3541.0,1.0,3.0,3.0,0,5.0,1.0,0,0,24.166666666666668,0,6.0,1.0,1,1,1,1,1.0,0,0,0.0,0.0,0,0,0,1.0,1,200,4,0,0,0,0,0,3.0,1.0,7.0,0,3.0,1.0,5.0,5.0,3.0,1
461,3592.0,1.0,3.0,3.0,0,5.0,1.0,0,1,31.916666666666668,1,0.0,0.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,0,1.0,1,1,2,0,0,0,0,0,3.0,0.0,4.0,0,2.0,1.0,4.0,3.0,1.0,0
471,3645.0,1.0,3.0,3.0,0,5.0,1.0,0,1,23.0,0,0.0,0.0,0,0,0,0,1.0,1,0,0.0,0.0,0,0,0,1.0,0,100,0,0,0,0,0,0,4.0,4.0,8.0,0,3.0,1.0,5.0,5.0,4.0,0
485,3729.0,1.0,3.0,3.0,0,6.0,1.0,0,1,27.666666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,40,2,0,0,0,0,1,4.0,10.0,7.0,0,2.0,1.0,4.0,3.0,3.01,0
493,3769.0,1.0,3.0,3.0,0,6.0,1.0,0,1,25.166666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,50,1,0,0,0,0,0,5.0,4.0,7.0,0,3.0,1.0,5.0,5.0,5.0,0
497,3791.0,1.0,3.0,3.0,0,6.0,1.0,0,0,26.416666666666668,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,30,1,1,1,1,1,1,5.0,1.0,7.0,0,4.0,1.0,4.0,3.0,5.0,1
500,3803.0,1.0,3.0,3.0,0,6.0,1.0,0,0,26.833333333333332,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,0,8,4,0,0,0,0,0,4.0,2.0,5.0,0,5.0,1.0,3.0,2.0,2.0,1
501,3814.0,1.0,3.0,6.0,1,6.0,1.0,0,1,41.75,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,500,2,0,0,0,0,0,4.0,1.0,6.0,0,1.0,2.0,2.0,2.0,3.0,0
525,3980.0,1.0,3.0,3.0,0,6.0,1.0,0,1,22.916666666666668,1,0.0,0.0,0,0,0,0,8.0,0,0,0.0,0.0,0,0,0,1.0,1,4,1,0,0,0,0,0,2.0,0.0,6.0,0,3.0,1.0,3.0,3.0,1.0,0
543,4110.0,1.0,3.0,3.0,0,6.0,1.0,0,1,23.416666666666668,1,0.0,0.0,0,0,0,0,6.0,0,0,0.0,0.0,0,0,0,1.0,0,8,4,0,0,0,0,0,4.0,1.0,5.0,0,2.0,1.0,3.0,3.0,3.01,0
550,4134.0,1.0,3.0,3.0,0,6.0,1.0,0,1,22.583333333333332,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,0,320,0,0,0,0,0,0,3.0,0.0,6.0,0,3.0,1.0,3.0,3.0,3.01,0
553,4167.0,1.0,3.0,3.0,0,6.0,1.0,0,1,23.333333333333332,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,128,3,0,0,0,0,1,4.0,5.0,6.0,0,3.0,1.0,3.0,3.0,4.0,0
555,4175.0,1.0,3.0,3.0,0,6.0,1.0,0,0,21.666666666666668,1,0.0,0.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,0,1.0,1,1,0,0,0,0,0,0,3.0,2.0,10.0,0,1.0,1.0,3.0,3.0,1.0,0
585,4383.0,1.0,3.0,3.0,0,7.0,1.0,0,1,22.5,0,0.0,0.0,0,0,0,0,1.0,1,785,0.0,0.0,0,0,0,1.0,1,600,0,0,0,0,0,0,3.0,0.0,5.0,0,2.0,1.0,5.0,3.0,3.0,0
590,4408.0,1.0,3.0,3.0,0,7.0,1.0,0,0,21.75,0,0.0,0.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,0,1.0,0,420,0,0,0,0,0,0,4.0,0.0,10.0,0,3.0,1.0,3.0,3.0,0.0,0
597,4466.0,1.0,3.0,3.0,0,7.0,1.0,0,1,23.333333333333332,0,3.0,3.0,1,1,0,1,9.0,0,0,0.0,0.0,0,0,0,1.0,1,8,2,0,0,0,0,1,3.0,0.0,7.0,0,1.0,1.0,3.0,3.0,1.0,0
603,4525.0,1.0,3.0,3.0,0,7.0,1.0,0,1,26.416666666666668,1,0.0,0.0,0,0,0,0,6.0,0,0,0.0,0.0,0,0,0,1.0,1,10,3,0,0,1,0,0,4.0,2.0,7.0,0,1.0,1.0,3.0,3.0,4.0,0
604,4547.0,1.0,3.0,3.0,0,7.0,1.0,1,0,27.083333333333332,0,0.0,0.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,0,1.0,1,120,0,0,0,0,0,0,5.0,6.0,9.0,0,3.0,1.0,1.0,1.0,1.0,1
612,4588.0,1.0,3.0,3.0,0,7.0,1.0,0,1,25.416666666666668,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,20,2,0,0,1,0,1,4.0,1.0,6.0,0,4.0,1.0,3.0,2.0,2.0,0
677,5052.0,1.0,3.0,3.0,0,7.0,1.0,0,1,21.75,0,0.0,0.0,0,0,0,0,4.0,0,0,0.0,0.0,0,0,0,1.0,0,48,0,0,0,0,0,0,4.0,5.0,9.0,0,4.0,1.0,5.0,3.0,1.0,0
681,5081.0,1.0,3.0,3.0,0,7.0,1.0,0,1,23.333333333333332,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,1,5,0,0,1,0,1,5.0,3.0,7.0,0,3.0,1.0,5.0,3.0,2.0,0
684,5096.0,1.0,3.0,3.0,0,7.0,1.0,0,1,23.916666666666668,0,0.0,0.0,0,0,0,0,6.0,0,0,0.0,0.0,0,0,0,1.0,1,200,3,0,0,0,0,0,2.0,0.0,8.0,0,1.0,1.0,3.0,3.0,3.01,0
704,5264.0,1.0,3.0,5.0,0,7.0,1.0,0,0,29.166666666666668,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,0,800,0,0,0,0,0,1,3.0,0.0,7.0,1,3.0,1.0,5.0,3.0,3.0,1
708,5284.0,1.0,1.0,3.0,0,3.0,3.0,0,1,23.75,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,160,0,0,0,0,0,0,4.0,2.0,6.0,0,3.0,1.0,6.0,5.0,4.0,0
712,5295.0,1.0,1.0,3.0,0,3.0,3.0,0,1,25.333333333333332,1,0.0,0.0,0,0,0,0,9.0,0,0,0.0,0.0,0,0,0,1.0,0,100,1,0,0,0,0,0,2.0,3.0,5.0,0,5.0,1.0,3.0,3.0,3.01,0
715,5308.0,1.0,1.0,3.0,0,3.0,3.0,0,1,24.666666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,60,1,0,0,0,0,0,4.0,7.0,7.0,0,1.0,1.0,5.0,4.0,3.01,0
717,5313.0,1.0,1.0,3.0,0,3.0,3.0,0,1,25.416666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,150,1,0,0,0,0,0,4.0,3.0,7.0,0,3.0,1.0,5.0,5.0,6.0,0
720,5337.0,1.0,1.0,3.0,0,3.0,3.0,0,1,24.416666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,40,1,0,0,0,0,0,4.0,3.0,8.0,0,1.0,1.0,3.0,3.0,4.0,0
722,5347.0,1.0,1.0,3.0,0,3.0,3.0,1,1,25.25,1,0.0,0.0,0,0,0,0,3.0,0,0,0.0,0.0,0,0,0,1.0,0,30,2,0,0,0,0,0,5.0,7.0,7.0,0,4.0,1.0,5.0,5.0,6.0,0
733,5417.0,1.0,1.0,3.0,0,3.0,3.0,0,1,25.416666666666668,1,0.0,0.0,0,0,0,0,3.0,0,0,0.0,0.0,0,0,0,1.0,0,30,1,0,0,0,0,0,4.0,1.0,7.0,0,3.0,1.0,5.0,5.0,3.0,0
737,5430.0,1.0,1.0,3.0,0,3.0,3.0,0,1,24.0,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,15,1,0,0,0,0,0,1.0,2.0,8.0,0,1.0,1.0,5.0,5.0,4.0,0
739,5442.0,1.0,1.0,3.0,0,3.0,3.0,0,0,25.666666666666668,1,0.0,0.0,0,0,0,0,1.0,1,0,0.0,0.0,0,0,0,1.0,1,15,2,0,0,0,0,0,4.0,2.0,7.0,0,1.0,1.0,5.0,6.0,3.0,1
741,5448.0,1.0,1.0,3.0,0,3.0,3.0,0,1,24.083333333333332,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,30,1,0,0,0,0,0,4.0,0.0,7.0,0,3.0,1.0,5.0,3.0,4.0,0
743,5453.0,1.0,1.0,3.0,0,3.0,3.0,0,1,23.916666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,15,1,0,0,0,0,0,3.0,0.0,7.0,0,3.0,1.0,5.0,5.0,2.0,0
744,5458.0,1.0,1.0,3.0,0,3.0,3.0,0,1,23.833333333333332,1,0.0,0.0,0,0,0,0,1.0,1,750,0.0,0.0,0,0,0,1.0,0,60,1,0,0,0,0,0,4.0,3.0,7.0,0,4.0,1.0,3.0,3.0,3.0,0
746,5460.0,1.0,1.0,3.0,0,3.0,3.0,0,1,24.166666666666668,1,0.0,0.0,0,0,0,0,1.0,0,670,0.0,0.0,0,0,0,1.0,1,30,1,0,0,0,0,0,4.0,2.0,7.0,0,3.0,1.0,4.0,4.0,2.0,0
752,5488.0,1.0,1.0,3.0,0,3.0,3.0,0,0,24.5,0,0.0,0.0,0,0,0,0,9.0,0,0,0.0,0.0,0,0,0,1.0,0,15,1,0,0,0,0,0,4.0,3.0,6.0,0,3.0,1.0,5.0,5.0,3.0,0
753,5492.0,1.0,1.0,3.0,0,3.0,3.0,0,1,23.5,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,30,1,0,0,0,0,0,4.0,6.0,6.0,0,3.0,1.0,5.0,5.0,2.0,0
756,5514.0,1.0,1.0,3.0,0,3.0,3.0,0,1,24.5,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,10000,2,0,0,0,0,0,4.0,1.0,8.0,0,3.0,1.0,5.0,3.0,3.0,0
761,5526.0,1.0,1.0,3.0,0,3.0,3.0,0,1,24.25,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,15,2,0,0,0,0,0,2.0,0.0,7.0,0,1.0,1.0,5.0,5.0,5.0,0
764,5548.0,1.0,1.0,3.0,0,3.0,3.0,0,1,24.333333333333332,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,15,2,0,0,0,0,0,4.0,2.0,7.0,0,4.0,1.0,5.0,5.0,5.0,0
769,5570.0,1.0,1.0,3.0,0,3.0,3.0,0,0,25.0,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,15,1,0,0,0,0,0,4.0,1.0,7.0,0,2.0,1.0,5.0,5.0,3.0,0
773,5580.0,1.0,1.0,3.0,0,3.0,3.0,0,0,23.916666666666668,0,0.0,0.0,0,0,0,0,9.0,0,0,0.0,0.0,0,0,0,1.0,1,80,1,0,0,0,0,0,5.0,15.0,7.0,0,2.0,1.0,5.0,5.0,6.0,0
775,5584.0,1.0,1.0,3.0,0,3.0,3.0,0,1,23.583333333333332,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,0,100,0,0,0,0,0,1,2.0,1.0,7.0,0,2.0,1.0,5.0,5.0,2.0,0
780,5615.0,1.0,1.0,3.0,0,3.0,3.0,0,0,23.833333333333332,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,10,0,0,0,0,0,0,5.0,1.0,8.0,1,4.0,1.0,3.0,3.0,1.0,0
784,5625.0,1.0,1.0,3.0,0,3.0,3.0,0,1,23.75,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,0,3,1,0,0,0,0,0,3.0,0.0,7.0,0,2.0,1.0,3.0,3.0,3.0,0
799,5688.0,1.0,3.0,3.0,0,1.0,2.0,1,1,25.0,0,5.0,3.0,0,0,0,1,1.0,0,780,0.0,0.0,0,0,0,1.0,1,400,2,0,0,0,0,0,3.0,1.0,7.0,0,3.0,1.0,3.0,3.0,3.0,0
808,5737.0,1.0,3.0,3.0,0,1.0,2.0,0,0,28.083333333333332,1,0.0,0.0,0,0,0,0,1.0,0,780,0.0,0.0,0,0,0,1.0,1,940,7,0,0,0,0,0,3.0,2.0,9.0,1,4.0,1.0,5.0,5.0,3.01,1
811,5753.0,1.0,3.0,3.0,0,1.0,2.0,0,0,24.083333333333332,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,120,2,0,0,0,0,0,1.0,1.0,7.0,0,2.0,1.0,3.0,3.0,5.0,0
824,5782.0,1.0,3.0,3.0,0,1.0,2.0,0,1,25.75,0,5.0,0.0,1,1,0,1,1.0,0,770,0.0,0.0,0,0,0,1.0,0,200,2,0,0,0,0,1,3.0,1.0,9.0,0,4.0,1.0,3.0,3.0,3.01,0
831,5813.0,1.0,1.0,3.0,0,1.0,2.0,0,1,26.916666666666668,0,30.0,2.0,0,1,1,1,1.0,0,0,0.0,0.0,0,0,0,1.0,1,800,0,0,0,1,1,1,3.0,2.0,8.0,0,3.0,1.0,6.0,3.0,1.0,0
833,5817.0,1.0,3.0,3.0,0,1.0,2.0,0,1,24.166666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,440,2,0,0,1,1,1,3.0,1.0,5.0,1,3.0,1.0,3.0,1.0,2.0,0
